Name,Age,Position,Player Nationality,Market Value,Left,LeagueLefted,Joined,LeagueJoined,Fee
Deniz Gül,20,Centre-Forward,Türkiye,2.0,Hammarby,Allsvenskan,FC Porto,Liga Portugal,4.5
Jhoanner Chávez,22,Left-Back,Ecuador,2.0,EC Bahia,Série A,Lens,Ligue 1,4.5
Jordan,28,Centre-Forward,United States,3.0,Union Berlin,Bundesliga,Stade Reims,Ligue 1,4.5
Mama Baldé,28,Centre-Forward,Guinea-Bissau,4.0,Olympique Lyon,Ligue 1,Stade Brestois,Ligue 1,4.5
Unai Hernández,20,Central Midfield,Spain,1.0,Barça Atlètic,Primera Federación - Gr. I,Al-Ittihad,Saudi Pro League,4.5
Igor Gomes,23,Centre-Back,Brazil,1.5,Internacional,Série A,Shabab Al-Ahli,UAE Pro League,4.5
Jens Odgaard,25,Attacking Midfield,Denmark,4.5,AZ Alkmaar,Eredivisie,Bologna,Serie A,4.28
Jesper Daland,24,Centre-Back,Norway,4.5,Cercle Brugge,Jupiler Pro League,Cardiff,Championship,4.1
Troy Parrott,22,Centre-Forward,Ireland,4.5,Tottenham U21,Premier League 2,AZ Alkmaar,Eredivisie,4.0
Mario Mitaj,21,Left-Back,Albania,4.5,Loko Moscow,Premier Liga,Al-Ittihad,Saudi Pro League,4.0
Nedim Bajrami,25,Attacking Midfield,Albania,4.5,Sassuolo,Serie B,Rangers,Premiership,3.6
Jens Petter Hauge,25,Left Winger,Norway,4.5,E. Frankfurt,Bundesliga,Bodø/Glimt,Eliteserien,3.5
Adalberto Carrasquilla,26,Central Midfield,Panama,4.5,Houston,MLS,UNAM Pumas,Liga MX Apertura,3.4
Nediljko Labrovic,24,Goalkeeper,Croatia,4.5,HNK Rijeka,SuperSport HNL,FC Augsburg,Bundesliga,2.5
Rúben Vinagre,25,Left-Back,Portugal,4.5,Sporting CP,Liga Portugal,Legia Warszawa,Ekstraklasa,2.5
Aarón Quirós,22,Centre-Back,Argentina,4.5,Banfield,Liga Profesional (- 23/24),Vélez Sarsfield,Liga Profesional (- 23/24),2.43
Joaquín Pereyra,25,Central Midfield,Argentina,4.5,Atl. Tucumán,Liga Profesional (- 23/24),Minnesota,MLS,2.19
Jack McGlynn,21,Central Midfield,United States,4.5,Philadelphia,MLS,Houston,MLS,2.04
Brooke Norton-Cuffy,20,Right-Back,England,4.5,Arsenal U21,Premier League 2,Genoa,Serie A,2.0
Zan Celar,25,Centre-Forward,Slovenia,4.5,FC Lugano,Super League,QPR,Championship,2.0
Tomás Conechny,26,Left Winger,Argentina,4.5,Godoy Cruz,Liga Profesional (- 23/24),Alavés,LaLiga,2.0
Giovanni Leoni,17,Centre-Back,Italy,4.5,Padova,Serie C - A,Sampdoria,Serie B,1.5
Jean-Philippe Krasso,26,Centre-Forward,Cote d'Ivoire,4.5,Red Star,Super liga Srbije,Paris FC,Ligue 2,1.5
Francis Amuzu,25,Left Winger,Belgium,4.5,RSC Anderlecht,Jupiler Pro League,Grêmio,Série A,1.2
Adam Bareiro,28,Centre-Forward,Paraguay,4.5,River Plate,Torneo Apertura,Al-Rayyan,Stars League,
DeJuan Jones,27,Left-Back,United States,4.5,New England,MLS,Columbus,MLS,5.5
Kevin Agudelo,25,Attacking Midfield,Colombia,4.5,Al-Nasr,UAE Pro League,Al-Wahda,UAE Pro League,
Paxten Aaronson,20,Central Midfield,United States,4.5,E. Frankfurt,Bundesliga,FC Utrecht,Eredivisie,
Stijn Spierings,28,Defensive Midfield,Netherlands,4.5,Lens,Ligue 1,Bröndby IF,Superliga,
Nicolás Valentini,23,Centre-Back,Argentina,4.5,Fiorentina,Serie A,Hellas Verona,Serie A,
Ki-Jana Hoever,22,Right-Back,Netherlands,4.5,Wolves,Premier League,AJ Auxerre,Ligue 1,
Hamza Choudhury,27,Defensive Midfield,Bangladesh,4.5,Leicester,Premier League,Sheff Utd,Championship,
Antonio Raimondo,20,Centre-Forward,Italy,4.5,Bologna,Serie A,Salernitana,Serie B,
Nicolás Valentini,23,Centre-Back,Argentina,4.5,Boca Juniors,Torneo Apertura,Fiorentina,Serie A,
Sam Greenwood,22,Centre-Forward,England,4.5,Leeds,Championship,Preston,Championship,
Oli McBurnie,28,Centre-Forward,Scotland,4.5,Sheff Utd,Championship,UD Las Palmas,LaLiga,
Wendell,31,Left-Back,Brazil,4.5,FC Porto,Liga Portugal,São Paulo,Série A,
Antonio Raimondo,20,Centre-Forward,Italy,4.5,Bologna,Serie A,Venezia,Serie A,
Ryan Giles,24,Left-Back,England,4.5,Hull City,Championship,Middlesbrough,Championship,
Praxedes,22,Central Midfield,Brazil,4.5,RB Bragantino,Série A,Athletico-PR,Série A,
André Horta,28,Central Midfield,Portugal,4.5,SC Braga,Liga Portugal,Olympiacos,Super League 1,
Marash Kumbulla,24,Centre-Back,Albania,4.5,AS Roma,Serie A,Espanyol,LaLiga,
Agustín Álvarez,23,Centre-Forward,Uruguay,4.5,Sassuolo,Serie B,Elche CF,LaLiga2,
Andreas Ntoi,21,Centre-Back,Greece,4.5,Olympiacos,Super League 1,Rio Ave,Liga Portugal,
Jovan Mijatović,19,Centre-Forward,Serbia,4.5,New York City,MLS,OH Leuven,Jupiler Pro League,
Rodrigo,33,Centre-Forward,Spain,4.5,Al-Rayyan,Stars League,Al-Gharafa,Stars League,
Kamil Piatkowski,24,Centre-Back,Poland,4.5,RB Salzburg,Bundesliga,Kasimpasa,Süper Lig,
Antonín Barák,29,Attacking Midfield,Czech Republic,4.5,Fiorentina,Serie A,Kasimpasa,Süper Lig,
Baltasar Rodríguez,21,Attacking Midfield,Argentina,4.5,Racing Club,Torneo Apertura,Miami,MLS,
Salem Al-Najdi,21,Left-Back,Saudi Arabia,5.0,Al-Fateh,Saudi Pro League,Al-Nassr,Saudi Pro League,4.35
Oğuz Aydın,23,Left Winger,Türkiye,4.3,Alanyaspor,Süper Lig,Fenerbahce,Süper Lig,6.0
Samuel Dahl,21,Left-Back,Sweden,3.0,Djurgården,Allsvenskan,AS Roma,Serie A,4.3
Wagner Leonardo,25,Centre-Back,Brazil,2.0,EC Vitória,Série A,Grêmio,Série A,4.3
Emirhan Topçu,23,Centre-Back,Türkiye,4.3,C. Rizespor,Süper Lig,Besiktas,Süper Lig,3.4
Youcef Atal,28,Right-Back,Algeria,4.3,Adana Demirspor,Süper Lig,Al-Sadd,Stars League,
Ricardo Gomes,32,Centre-Forward,Cape Verde,4.3,Al-Shamal SC,Stars League,Al-Wakrah SC,Stars League,
Mohamed Abdelmonem,25,Centre-Back,Egypt,3.0,Ahly SC,Premier League,OGC Nice,Ligue 1,4.2
Alerrandro,25,Centre-Forward,Brazil,4.0,RB Bragantino,Série A,CSKA Moscow,Premier Liga,4.2
Jones El-Abdellaoui,18,Right Winger,Morocco,2.3,Vålerenga,Eliteserien,Celta Fortuna,Primera Federación - Gr. I,4.2
Sorba Thomas,25,Right Winger,Wales,4.2,Huddersfield,League One,FC Nantes,Ligue 1,
Zian Flemming,26,Attacking Midfield,Netherlands,4.2,Millwall,Championship,Burnley,Championship,
Christoph Klarer,24,Centre-Back,Austria,3.0,Darmstadt 98,2. Bundesliga,Birmingham,League One,4.15
Micah Hamilton,20,Left Winger,England,2.0,Man City U21,Premier League 2,Middlesbrough,Championship,4.1
Marko Arnautovic,35,Centre-Forward,Austria,4.0,Bologna,Serie A,Inter,Serie A,10.9
Alan Velasco,22,Left Winger,Argentina,4.0,Dallas,MLS,Boca Juniors,Torneo Apertura,9.6
Jhon Jhon,21,Attacking Midfield,Brazil,4.0,Palmeiras,Série A,RB Bragantino,Série A,7.1
Ognjen Mimovic,20,Right-Back,Serbia,4.0,Red Star,Super liga Srbije,Fenerbahce,Süper Lig,6.7
Bojan Miovski,25,Centre-Forward,North Macedonia,4.0,Aberdeen FC,Premiership,Girona,LaLiga,6.5
Isaiah Jones,25,Right Winger,Guyana,4.0,Middlesbrough,Championship,Luton,Championship,5.9
Keny Arroyo,18,Right Winger,Ecuador,4.0,Independiente,LigaPro Serie A,Besiktas,Süper Lig,5.67
Mohamed Belloumi,22,Right Winger,Algeria,4.0,Farense,Liga Portugal,Hull City,Championship,5.5
Milson,24,Left Winger,Angola,4.0,M. Tel Aviv,Ligat ha'Al,Red Star,Super liga Srbije,5.0
Rômulo,24,Defensive Midfield,Brazil,4.0,Internacional,Série A,Tigres UANL,Liga MX Apertura,5.0
Rubén Lezcano,21,Attacking Midfield,Paraguay,4.0,Libertad,Primera División Apertura,Fluminense,Série A,4.75
Erick,27,Defensive Midfield,Brazil,4.0,Athletico-PR,Série B,EC Bahia,Série A,4.5
Santiago Ramos Mingo,23,Centre-Back,Argentina,4.0,Defensa,Torneo Apertura,EC Bahia,Série A,4.35
Facundo Farías,22,Attacking Midfield,Argentina,4.0,Miami,MLS,Estudiantes LP,Torneo Apertura,4.34
Rodrigo Echeverría,29,Defensive Midfield,Chile,4.0,Huracán,Torneo Apertura,León,Liga MX Apertura,4.32
Rachid Kouda,22,Central Midfield,Italy,8.0,Spezia Calcio,Serie B,Parma,Serie A,4.0
Min-hyeok Yang,18,Right Winger,"Korea, South",3.5,Gangwon FC,K League 1,Tottenham,Premier League,4.0
Paris Brunner,18,Centre-Forward,Germany,,B. Dortmund U19,U19 Nachwuchsliga - Liga A,Monaco,Ligue 1,4.0
Samuel Essende,26,Centre-Forward,DR Congo,3.5,Vizela,Liga Portugal 2,FC Augsburg,Bundesliga,4.0
Ondrej Lingr,25,Attacking Midfield,Czech Republic,3.5,Slavia Prague,Chance Liga,Feyenoord,Eredivisie,4.0
Derek Cornelius,26,Centre-Back,Canada,2.8,Malmö FF,Allsvenskan,Marseille,Ligue 1,4.0
Willum Thór Willumsson,25,Attacking Midfield,Iceland,3.0,Go Ahead Eagles,Eredivisie,Birmingham,League One,4.0
Stipe Biuk,21,Left Winger,Croatia,4.0,LAFC,MLS,Real Valladolid,LaLiga,4.0
Peque Fernández,21,Second Striker,Spain,3.0,Racing,LaLiga2,Sevilla FC,LaLiga,4.0
Oliver Provstgaard,21,Centre-Back,Denmark,2.5,Vejle BK,Superliga,Lazio,Serie A,4.0
Ao Tanaka,25,Defensive Midfield,Japan,4.0,F. Düsseldorf,2. Bundesliga,Leeds,Championship,4.0
Djé D'Avilla,21,Defensive Midfield,Cote d'Ivoire,5.0,Leiria,Liga Portugal 2,Chicago,MLS,4.0
Erencan Yardımcı,22,Centre-Forward,Türkiye,2.0,Eyüpspor,Süper Lig,TSG Hoffenheim,Bundesliga,4.0
Yousef Salech,23,Centre-Forward,Denmark,1.8,Sirius,Allsvenskan,Cardiff,Championship,4.0
Daniel Fila,22,Centre-Forward,Czech Republic,1.2,Slavia Prague,Chance Liga,Venezia,Serie A,4.0
Gaetano Oristanio,21,Attacking Midfield,Italy,4.0,Inter,Serie A,Venezia,Serie A,4.0
Carlos Miguel,25,Goalkeeper,Brazil,4.0,Corinthians,Série A,Nottm Forest,Premier League,4.0
Denil Castillo,20,Central Midfield,Ecuador,1.0,Shakhtar D.,Premier Liga,FC Midtjylland,Superliga,4.0
Wilson Isidor,23,Centre-Forward,France,4.0,Loko Moscow,Premier Liga,Zenit S-Pb,Premier Liga,4.0
Vanja Drkusic,24,Centre-Back,Slovenia,3.5,Sochi,1.Division,Zenit S-Pb,Premier Liga,4.0
Emin Bayram,21,Centre-Back,Türkiye,4.0,Galatasaray,Süper Lig,KVC Westerlo,Jupiler Pro League,4.0
Tammer Bany,21,Centre-Forward,Denmark,5.0,Randers FC,Superliga,West Brom,Championship,4.0
Lucas Evangelista,29,Central Midfield,Brazil,3.0,RB Bragantino,Série A,Palmeiras,Série A,4.0
Diego Conde,25,Goalkeeper,Spain,2.0,CD Leganés,LaLiga,Villarreal,LaLiga,4.0
Andréas Hountondji,22,Centre-Forward,Benin,1.8,SM Caen,Ligue 2,Burnley,Championship,4.0
Franjo Ivanovic,20,Centre-Forward,Croatia,1.5,HNK Rijeka,SuperSport HNL,Union SG,Jupiler Pro League,4.0
Alexander Lind,22,Centre-Forward,Denmark,3.0,Silkeborg IF,Superliga,Pisa,Serie B,4.0
Fidel Barajas,18,Right Winger,Mexico,2.0,Salt Lake,MLS,Chivas,Liga MX Apertura,4.0
Rubén Duarte,28,Left-Back,Spain,3.0,Alavés,LaLiga,UNAM Pumas,Liga MX Apertura,4.0
Giovanni González,29,Right-Back,Uruguay,3.0,RCD Mallorca,LaLiga,Krasnodar,Premier Liga,4.0
Igor Jesus,21,Defensive Midfield,Brazil,2.0,Estrela Amadora,Liga Portugal,LAFC,MLS,4.0
Ahmed Qasem,21,Right Winger,Sweden,3.0,Elfsborg,Allsvenskan,Nashville,MLS,4.0
Diber Cambindo,28,Centre-Forward,Colombia,4.0,CD Cruz Azul,Liga MX Apertura,Necaxa,Liga MX Apertura,3.9
Omar Campos,22,Left-Back,Mexico,4.0,LAFC,MLS,CD Cruz Azul,Liga MX Apertura,3.8
Eren Elmalı,24,Left-Back,Türkiye,4.0,Trabzonspor,Süper Lig,Galatasaray,Süper Lig,3.5
Couhaib Driouech,22,Left Winger,Morocco,4.0,Excelsior,Keuken Kampioen Divisie,PSV Eindhoven,Eredivisie,3.5
Jonathan Bamba,28,Left Winger,Cote d'Ivoire,4.0,Celta de Vigo,LaLiga,Chicago,MLS,3.5
Niklas Dorsch,26,Defensive Midfield,Germany,4.0,FC Augsburg,Bundesliga,Heidenheim,Bundesliga,3.5
Alejandro Francés,21,Right-Back,Spain,4.0,Real Zaragoza,LaLiga2,Girona,LaLiga,3.5
Sverrir Ingi Ingason,30,Centre-Back,Iceland,4.0,FC Midtjylland,Superliga,Panathinaikos,Super League 1,3.08
Lucas Hey,21,Centre-Back,Denmark,4.0,Nordsjaelland,Superliga,RSC Anderlecht,Jupiler Pro League,3.0
Ramón Miérez,27,Centre-Forward,Argentina,4.0,NK Osijek,SuperSport HNL,Al-Jazira,UAE Pro League,3.0
Juan Barinaga,23,Right-Back,Argentina,4.0,Belgrano,Liga Profesional (- 23/24),Boca Juniors,Liga Profesional (- 23/24),2.85
Nicolás Acevedo,25,Defensive Midfield,Uruguay,4.0,New York City,MLS,EC Bahia,Série A,2.85
Saud Abdulhamid,25,Right-Back,Saudi Arabia,4.0,Al-Hilal,Saudi Pro League,AS Roma,Serie A,2.5
Zé Rafael,31,Central Midfield,Brazil,4.0,Palmeiras,Série A,Santos,Série A,2.5
John Tolkin,22,Left-Back,United States,4.0,New York,MLS,Holstein Kiel,Bundesliga,2.5
Costinha,24,Right-Back,Portugal,4.0,Rio Ave,Liga Portugal,Olympiacos,Super League 1,2.5
Mattia Zanotti,21,Right-Back,Italy,4.0,Inter,Serie A,FC Lugano,Super League,2.5
Christopher Operi,27,Left-Back,Cote d'Ivoire,4.0,Le Havre AC,Ligue 1,Basaksehir,Süper Lig,2.5
Kelvin Yeboah,24,Centre-Forward,Italy,4.0,Genoa,Serie A,Minnesota,MLS,2.5
Dante Vanzeir,26,Centre-Forward,Belgium,4.0,New York,MLS,KAA Gent,Jupiler Pro League,2.35
Jean Butez,29,Goalkeeper,France,4.0,Royal Antwerp,Jupiler Pro League,Como,Serie A,2.1
Ciro Immobile,34,Centre-Forward,Italy,4.0,Lazio,Serie A,Besiktas,Süper Lig,2.0
Jadsom,23,Defensive Midfield,Brazil,4.0,RB Bragantino,Série A,Al-Wahda,UAE Pro League,2.0
Ricardo Mangas,26,Left-Back,Portugal,4.0,Vit. Guimarães,Liga Portugal,Spartak Moscow,Premier Liga,2.0
Pedro Malheiro,23,Right-Back,Portugal,4.0,Boavista,Liga Portugal,Trabzonspor,Süper Lig,2.0
Igor Lichnovsky,30,Centre-Back,Chile,4.0,Tigres UANL,Liga MX Apertura,América,Liga MX Apertura,2.0
Maximiliano Meza,31,Right Winger,Argentina,4.0,Monterrey,Liga MX Apertura,River Plate,Liga Profesional (- 23/24),1.8
Denis Drăguș,24,Centre-Forward,Romania,4.0,Standard Liège,Jupiler Pro League,Trabzonspor,Süper Lig,1.7
Shamar Nicholson,27,Centre-Forward,Jamaica,4.0,Spartak Moscow,Premier Liga,Club Tijuana,Liga MX Apertura,1.6
Armindo Sieb,21,Second Striker,Germany,4.0,Greuther Fürth,2. Bundesliga,Bayern Munich,Bundesliga,1.5
Samed Bazdar,20,Centre-Forward,Bosnia-Herzegovina,4.0,Partizan,Super liga Srbije,Real Zaragoza,LaLiga2,1.5
Eros Mancuso,25,Right-Back,Argentina,4.0,Estudiantes LP,Liga Profesional (- 23/24),Fortaleza,Série A,1.47
Otávio,30,Defensive Midfield,Brazil,4.0,Atlético-MG,Série A,Fluminense,Série A,1.37
Sasa Zdjelar,29,Defensive Midfield,Serbia,4.0,CSKA Moscow,Premier Liga,Zenit S-Pb,Premier Liga,1.3
Luis Rioja,30,Left Winger,Spain,4.0,Alavés,LaLiga,Valencia,LaLiga,1.2
Armindo Sieb,21,Second Striker,Germany,4.0,Bayern Munich,Bundesliga,1.FSV Mainz 05,Bundesliga,
Marcos Acuña,32,Left-Back,Argentina,4.0,Sevilla FC,LaLiga,River Plate,Liga Profesional (- 23/24),1.0
Stoichkov,30,Second Striker,Spain,4.0,SD Eibar,LaLiga2,Alavés,LaLiga,1.0
Álex Sola,25,Right Winger,Spain,4.0,Real Sociedad,LaLiga,Getafe,LaLiga,1.0
Óscar Estupiñán,27,Centre-Forward,Colombia,4.0,Hull City,Championship,FC Juárez,Liga MX Apertura,1.0
Jackson Muleka,24,Centre-Forward,DR Congo,4.0,Besiktas,Süper Lig,Al-Kholood,Saudi Pro League,
Léo,27,Centre-Forward,Brazil,4.0,SD Taishan,Super League,SH Port,Super League,8.75
Jarne Steuckers,22,Right Winger,Belgium,4.0,Sint-Truiden,Jupiler Pro League,KRC Genk,Jupiler Pro League,8.0
Wilson Isidor,23,Centre-Forward,France,4.0,Zenit S-Pb,Premier Liga,Sunderland,Championship,
Dimitri Lavalée,27,Left-Back,Belgium,4.0,KV Mechelen,Jupiler Pro League,Sturm Graz,Bundesliga,7.0
Samuel Dahl,21,Left-Back,Sweden,4.0,AS Roma,Serie A,Benfica,Liga Portugal,
Wilfried Kanga,26,Centre-Forward,Cote d'Ivoire,4.0,Hertha BSC,2. Bundesliga,Cardiff,Championship,
Roberto Piccoli,23,Centre-Forward,Italy,4.0,Atalanta BC,Serie A,Cagliari,Serie A,
Dion Beljo,22,Centre-Forward,Croatia,4.0,FC Augsburg,Bundesliga,Rapid Vienna,Bundesliga,
Santiago Longo,26,Defensive Midfield,Argentina,4.0,Belgrano,Liga Profesional (- 23/24),São Paulo,Série A,
Tom Krauß,23,Central Midfield,Germany,4.0,1.FSV Mainz 05,Bundesliga,Luton,Championship,
Marcos Antônio,24,Central Midfield,Brazil,4.0,Lazio,Serie A,São Paulo,Série A,
Matteo Lovato,24,Centre-Back,Italy,4.0,Salernitana,Serie B,Sassuolo,Serie B,
Adryelson,26,Centre-Back,Brazil,4.0,Olympique Lyon,Ligue 1,RSC Anderlecht,Jupiler Pro League,
Ludwig Augustinsson,30,Left-Back,Sweden,4.0,Sevilla FC,LaLiga,RSC Anderlecht,Jupiler Pro League,
Nick Woltemade,22,Second Striker,Germany,4.0,Werder Bremen,Bundesliga,VfB Stuttgart,Bundesliga,
Tom Krauß,23,Central Midfield,Germany,4.0,1.FSV Mainz 05,Bundesliga,VfL Bochum,Bundesliga,
Marco Grüll,25,Left Winger,Austria,4.0,Rapid Vienna,Bundesliga,Werder Bremen,Bundesliga,
Cher Ndour,20,Central Midfield,Italy,4.0,Paris SG,Ligue 1,Besiktas,Süper Lig,
João Mário,31,Left Winger,Portugal,4.0,Benfica,Liga Portugal,Besiktas,Süper Lig,
Emmanuel Dennis,27,Centre-Forward,Nigeria,4.0,Nottm Forest,Premier League,Blackburn,Championship,
Cédric Zesiger,26,Centre-Back,Switzerland,4.0,VfL Wolfsburg,Bundesliga,FC Augsburg,Bundesliga,
Jan Kuchta,28,Centre-Forward,Czech Republic,4.0,FC Midtjylland,Superliga,Sparta Prague,Chance Liga,
Matías Rojas,29,Attacking Midfield,Paraguay,4.0,Miami,MLS,River Plate,Torneo Apertura,
Zé Ivaldo,27,Centre-Back,Brazil,4.0,Cruzeiro,Série A,Santos,Série A,
Takuma Asano,29,Right Winger,Japan,4.0,VfL Bochum,Bundesliga,RCD Mallorca,LaLiga,
Pierluigi Gollini,29,Goalkeeper,Italy,4.0,Atalanta BC,Serie A,Genoa,Serie A,
Amin Sarr,23,Centre-Forward,Sweden,4.0,Olympique Lyon,Ligue 1,Hellas Verona,Serie A,
Sinaly Diomandé,23,Centre-Back,Cote d'Ivoire,4.0,Olympique Lyon,Ligue 1,AJ Auxerre,Ligue 1,
Gabriel Slonina,20,Goalkeeper,United States,4.0,Chelsea,Premier League,Barnsley,League One,
Eray Cömert,26,Centre-Back,Switzerland,4.0,Valencia,LaLiga,Real Valladolid,LaLiga,
Cenk Özkacar,23,Centre-Back,Türkiye,4.0,Valencia,LaLiga,Real Valladolid,LaLiga,
Arijon Ibrahimovic,19,Attacking Midfield,Germany,4.0,Bayern Munich,Bundesliga,Lazio,Serie A,
Stipe Biuk,21,Left Winger,Croatia,4.0,Real Valladolid,LaLiga,Hajduk Split,SuperSport HNL,
Kristian Hlynsson,21,Attacking Midfield,Iceland,4.0,Ajax,Eredivisie,Sparta R.,Eredivisie,
Philip Zinckernagel,29,Left Winger,Denmark,4.0,Club Brugge,Jupiler Pro League,Bodø/Glimt,Eliteserien,
Josh Wilson-Esbrand,22,Left-Back,England,4.0,Man City,Premier League,Stoke City,Championship,
Tom Cannon,21,Centre-Forward,Ireland,4.0,Leicester,Premier League,Stoke City,Championship,
Oscar,33,Attacking Midfield,Brazil,4.0,SH Port,Super League,São Paulo,Série A,
Calum Chambers,29,Centre-Back,England,4.0,Aston Villa,Premier League,Cardiff,Championship,
Alfred Duncan,31,Central Midfield,Ghana,4.0,Fiorentina,Serie A,Venezia,Serie A,
Daniele Rugani,30,Centre-Back,Italy,4.0,Juventus,Serie A,Ajax,Eredivisie,
Danilo,33,Centre-Back,Brazil,4.0,Juventus,Serie A,Flamengo,Série A,
Mihajlo Ilic,21,Centre-Back,Serbia,4.0,Bologna,Serie A,Partizan,Super liga Srbije,
Malang Sarr,25,Centre-Back,France,4.0,Chelsea,Premier League,Lens,Ligue 1,
Kevin Mbabu,29,Right-Back,Switzerland,4.0,Fulham,Premier League,FC Midtjylland,Superliga,
Frédéric Guilbert,29,Right-Back,France,4.0,R. Strasbourg,Ligue 1,Lecce,Serie A,
Reuell Walters,19,Right-Back,England,4.0,Arsenal U21,Premier League 2,Luton,Championship,
Koki Saito,23,Left Winger,Japan,4.0,Lommel SK,Challenger Pro League,QPR,Championship,
Luca Mazzitelli,28,Central Midfield,Italy,4.0,Frosinone,Serie B,Como,Serie A,
Stole Dimitrievski,30,Goalkeeper,North Macedonia,4.0,Rayo Vallecano,LaLiga,Valencia,LaLiga,
Juan Bernat,31,Left-Back,Spain,4.0,Paris SG,Ligue 1,Villarreal,LaLiga,
Calvin Ramsay,20,Right-Back,Scotland,4.0,Liverpool,Premier League,Wigan,League One,
Shola Shoretire,20,Left Winger,England,4.0,Man Utd U21,Premier League 2,PAOK Salonika,Super League 1,
Mohamed Bayo,26,Centre-Forward,Guinea,4.0,LOSC Lille,Ligue 1,Royal Antwerp,Jupiler Pro League,
Dennis Praet,30,Central Midfield,Belgium,4.0,Leicester,Premier League,Royal Antwerp,Jupiler Pro League,
Valentin Rosier,27,Right-Back,France,4.0,Besiktas,Süper Lig,CD Leganés,LaLiga,
Bamba Dieng,24,Centre-Forward,Senegal,4.0,FC Lorient,Ligue 2,Angers SCO,Ligue 1,
Sydney van Hooijdonk,24,Centre-Forward,Netherlands,4.0,Bologna,Serie A,Cesena,Serie B,
David Affengruber,23,Centre-Back,Austria,4.0,Sturm Graz,Bundesliga,Elche CF,LaLiga2,
Hugo,23,Left-Back,Brazil,4.0,Botafogo,Série A,EC Vitória,Série A,
Hannes Delcroix,25,Centre-Back,Belgium,4.0,Burnley,Championship,Swansea,Championship,
Riechedly Bazoer,27,Centre-Back,Curacao,4.0,AZ Alkmaar,Eredivisie,Konyaspor,Süper Lig,
Sékou Koïta,24,Centre-Forward,Mali,4.0,RB Salzburg,Bundesliga,CSKA Moscow,Premier Liga,
Lincoln,26,Attacking Midfield,Brazil,4.0,Fenerbahce,Süper Lig,Hull City,Championship,
Nico Melamed,23,Attacking Midfield,Spain,4.0,Espanyol,LaLiga,UD Almería,LaLiga2,
Calegari,22,Right-Back,Brazil,4.0,Fluminense,Série A,Famalicão,Liga Portugal,
Juanmi,31,Left Winger,Spain,4.0,Real Betis,LaLiga,Getafe,LaLiga,
Ibrahim Salah,23,Left Winger,Morocco,4.0,Stade Rennais,Ligue 1,Stade Brestois,Ligue 1,
Ricardo Gomes,33,Centre-Forward,Cape Verde,4.0,Al-Wakrah SC,Stars League,Al-Khor SC,Stars League,
Leonardo Spinazzola,31,Left-Back,Italy,4.0,AS Roma,Serie A,Napoli,Serie A,
Miguel Crespo,27,Central Midfield,Portugal,4.0,Fenerbahce,Süper Lig,Basaksehir,Süper Lig,
Alfredo Morelos,28,Centre-Forward,Colombia,4.0,Santos,Série B,Atl. Nacional,Liga DIMAYOR II,
Paul Arriola,29,Right Winger,United States,4.0,Dallas,MLS,Seattle,MLS,
Iago,27,Left-Back,Brazil,4.0,FC Augsburg,Bundesliga,EC Bahia,Série A,
Gastón Ávila,23,Centre-Back,Argentina,4.0,Ajax,Eredivisie,Fortaleza,Série A,
Biro,20,Right Winger,Brazil,4.0,Corinthians,Série A,Sharjah FC,UAE Pro League,
João Pedro,31,Centre-Forward,Brazil,4.0,Al-Taawoun,Saudi Pro League,Al-Wasl,UAE Pro League,
Joel Ndala,18,Left Winger,England,4.0,Man City U21,Premier League 2,Nottingham U21,Premier League 2,
Marcel Hartel,28,Central Midfield,Germany,4.0,FC St. Pauli,Bundesliga,St. Louis CITY,MLS,
Cacá,25,Centre-Back,Brazil,3.0,Tokushima Vort.,J2 League,Corinthians,Série A,3.9
Ahmed Al-Ghamdi,23,Left Winger,Saudi Arabia,6.0,Al-Ittihad,Saudi Pro League,NEOM SC,Saudi First Division League,
Ronnie Edwards,21,Centre-Back,England,3.8,Peterborough,League One,Southampton,Premier League,3.5
Nathan Wood,22,Centre-Back,England,3.8,Swansea,Championship,Southampton,Premier League,3.5
Yusuf Sarı,26,Right Winger,Türkiye,3.8,Adana Demirspor,Süper Lig,Basaksehir,Süper Lig,1.0
Luke McNally,24,Centre-Back,Ireland,3.8,Burnley,Championship,Bristol City,Championship,
Ronnie Edwards,21,Centre-Back,England,3.8,Southampton,Premier League,QPR,Championship,
Tozé,31,Attacking Midfield,Portugal,3.8,Al-Hazem,Saudi First Division League,Al-Riyadh,Saudi Pro League,
Scott Twine,25,Attacking Midfield,England,3.0,Burnley,Championship,Bristol City,Championship,3.75
Frankie Amaya,23,Central Midfield,United States,2.5,New York,MLS,Toluca,Liga MX Apertura,3.75
Aidan Morris,22,Central Midfield,United States,3.0,Columbus,MLS,Middlesbrough,Championship,3.73
Andrés Montaño,22,Central Midfield,Mexico,2.3,Mazatlán FC,Liga MX Apertura,CD Cruz Azul,Liga MX Apertura,3.72
Milton Giménez,27,Centre-Forward,Argentina,1.8,Banfield,Liga Profesional (- 23/24),Boca Juniors,Liga Profesional (- 23/24),3.7
Kaick,19,Defensive Midfield,Brazil,,Grêmio U20,CBF Brasileiro U20,Dallas,MLS,3.7
Rômulo,22,Centre-Forward,Brazil,3.7,Athletico-PR,Série B,Göztepe,Süper Lig,2.5
Taxiarchis Fountas,28,Second Striker,Greece,3.7,Trabzonspor,Süper Lig,OFI Crete FC,Super League 1,
